
novo banco, true, -8, 3, 2, 2
montepio, true, -8, 46, 3, 2
sibs, true, -71, 16, 6, 2
banco de portugal, true, -24, 22, 2, 2
novo banco, true, -26, 22, 4, 2
montepio, false, 4341, 17, 1, 2
sibs, true, -21, 7, 3, 2
banco de portugal, false, 3199, 9, 3, 2
novo banco, true, -58, 50, 4, 2
montepio, true, -29, 41, 3, 2
sibs, true, -45, 9, 4, 2
banco de portugal, true, -64, 9, 5, 2
novo banco, false, 3781, 36, 4, 2
montepio, true, -77, 2, 5, 2
sibs, true, -10, 25, 1, 2
banco de portugal, true, -9, 2, 4, 2
novo banco, true, -70, 30, 6, 2
montepio, false, 6765, 9, 6, 2
sibs, true, -32, 3, 3, 2
banco de portugal, true, -37, 4, 2, 2
novo banco, false, 1818, 7, 3, 2
montepio, true, -34, 25, 4, 2
sibs, false, 7583, 18, 1, 2
banco de portugal, true, -3, 1, 4, 2
novo banco, true, -27, 39, 3, 2
montepio, true, -23, 10, 6, 2
sibs, false, 4890, 26, 1, 2
banco de portugal, true, -11, 50, 1, 2
novo banco, true, -35, 19, 3, 2
montepio, true, -8, 8, 2, 2
sibs, true, -117, 21, 7, 2
banco de portugal, true, -53, 19, 4, 2
novo banco, false, 2483, 9, 3, 2
montepio, true, -1, 4, 3, 2
sibs, true, -3, 3, 2, 2
banco de portugal, false, 9356, 4, 4, 2
novo banco, true, -5, 50, 2, 2
montepio, true, -74, 2, 6, 2
sibs, true, -63, 20, 5, 2
banco de portugal, false, 5255, 11, 2, 2
novo banco, true, -7, 35, 3, 2
montepio, true, -31, 2, 3, 2
sibs, true, -10, 18, 5, 2
banco de portugal, true, -6, 46, 2, 2
novo banco, true, -1, 9, 3, 2
montepio, false, 6103, 9, 4, 2
sibs, true, -38, 22, 3, 2
banco de portugal, true, -95, 12, 5, 2
novo banco, true, -25, 3, 3, 2
montepio, false, 2064, 39, 2, 2
sibs, true, -40, 20, 3, 2
banco de portugal, false, 10994, 13, 1, 2
novo banco, true, -60, 6, 6, 2
montepio, true, -15, 11, 3, 2
sibs, true, -15, 10, 3, 2
banco de portugal, true, -64, 37, 4, 2
novo banco, true, -19, 16, 2, 2
montepio, false, 3899, 36, 3, 2
sibs, false, 6251, 32, 2, 2
banco de portugal, true, -39, 50, 4, 2
novo banco, true, -27, 21, 2, 2
montepio, true, -3, 46, 3, 2
sibs, true, -2, 32, 2, 2
banco de portugal, false, 815, 3, 2, 2
novo banco, true, -57, 10, 4, 2
montepio, true, -25, 28, 2, 2
sibs, true, -50, 35, 4, 2
banco de portugal, false, 16419, 15, 1, 2
novo banco, true, -55, 44, 4, 2
montepio, true, -87, 38, 8, 2
